name,label
38044--5,38044--5
38371--5,38371--5
11472--15,11472--15
22481--5,22481--5
38155--5,38155--5
14870--6,14870--6
209--م.شبوه,209--م.شبوه
11941--5-مؤقت-ح,11941--5-مؤقت-ح
11843--5,11843--5
39275--5,39275--5
37565--5,37565--5
9916--H,9916--H
11303--5-مؤقت,11303--5-مؤقت
11349--15,11349--15
80--17-مؤقت,80--17-مؤقت
40119--5,40119--5
15166--3,15166--3
35395--2,35395--2
120--5,120--5
119--5,119--5
37398--5,37398--5
785--مؤقت,785--مؤقت
38143--5,38143--5
31570--2,31570--2
36469--5,36469--5
11471--5,11471--5
2450--15,2450--15
1482--H,1482--H
12080--5,12080--5
61745--H,61745--H
11697--5,11697--5
11820--5,11820--5
8009--H,8009--H
2544--17,2544--17
10982--15,10982--15
3220--H,3220--H
2957--مؤقت,2957--مؤقت
13318--5,13318--5
14273--5,14273--5
13513--5,13513--5
36802--5,36802--5
509--17,509--17
14088--5,14088--5
13276--5,13276--5
10352--15,10352--15
10663--3,10663--3
24763--5,24763--5
9492--H,9492--H
610--مؤقت15,610--مؤقت15
9102--H,9102--H
10406--H,10406--H
29504--5,29504--5
37629--5,37629--5
2051--H,2051--H
2597--17,2597--17
38348--5,38348--5
41983--5,41983--5
2743--مؤقت-نقل,2743--مؤقت-نقل
7908--H,7908--H
1319--W,1319--W
36195--5,36195--5
2876--H,2876--H
10451--H,10451--H
1800--H,1800--H
39374--5,39374--5
2253--W,2253--W
34640--5,34640--5
4893--11,4893--11
1690--W,1690--W
4873--H,4873--H
353--نقل-,353--نقل-
5234--H,5234--H
2157--مؤقت-نقل,2157--مؤقت-نقل
2499--مؤقت-ابين,2499--مؤقت-ابين
5093--H,5093--H
6511--H,6511--H
5223--H,5223--H
2681---مؤقت-شبوه,2681---مؤقت-شبوه
2235---مؤقت-نقل,2235---مؤقت-نقل
9090--H,9090--H
34890--5,34890--5
1168--H,1168--H
8579--15,8579--15
5078--H,5078--H
39360--5,39360--5
2640--H,2640--H
35475--5,35475--5
18727--5,18727--5
3010--مؤقت-نقل,3010--مؤقت-نقل
13374--3,13374--3
1237--H,1237--H
31117--5,31117--5
5277--H,5277--H
2062--مؤقت-نقل,2062--مؤقت-نقل
1608--H,1608--H
3936--مؤقت-نقل,3936--مؤقت-نقل
3792--مؤقت-نقل,3792--مؤقت-نقل
7477--15,7477--15
4010--مؤقت-نقل,4010--مؤقت-نقل
2184--مؤقت-نقل,2184--مؤقت-نقل
1827--مؤقت-شبوه,1827--مؤقت-شبوه
4745--11,4745--11
944--15,944--15
1612--15,1612--15
10273--5,10273--5
14815--1,14815--1
2886--6,2886--6
4177--15,4177--15
5227--15,5227--15
1735--5,1735--5
3834--10,3834--10
8741--5,8741--5
30593--5,30593--5
632--15,632--15
16355--5,16355--5
2014--3,2014--3
8507--2,8507--2
5062--2,5062--2
39352--5,39352--5
29250--5,29250--5
1027--H,1027--H
9544--15,9544--15
429--17,429--17
11717--15,11717--15
28058--6,28058--6
1383--15,1383--15
6900--15,6900--15
10081--5,10081--5
2802--16,2802--16
16784--1,16784--1
6293--,6293--
1919--15,1919--15
1067--15,1067--15
39304--5,39304--5
40829--1,40829--1
35390--5,35390--5
3800--16,3800--16
42735--2,42735--2
4648--16,4648--16
H--1293,H--1293
953--15,953--15
2825--5,2825--5
13643--5,13643--5
6200--5,6200--5
28111--5,28111--5
13834--5,13834--5
3350--4,3350--4
16495--6,16495--6
9122--5,9122--5
4265--5,4265--5
11092--5,11092--5
29601--5,29601--5
1474--H,1474--H
16113--5,16113--5
1923--H,1923--H
60204--H,60204--H
11253--1,11253--1
7981--H,7981--H
9201--3,9201--3
6595--15,6595--15
38314--5,38314--5
2740--مؤقت-نقل,2740--مؤقت-نقل
8680--5,8680--5
3059---مؤقت-نقل,3059---مؤقت-نقل
9993--6,9993--6
5474--H,5474--H
1710--15,1710--15
6017--2,6017--2
61756--مؤقت-نقل,61756--مؤقت-نقل
123172--2,123172--2
24904--5,24904--5
2288--مؤقت-نقل,2288--مؤقت-نقل
36453--5,36453--5
19535--5,19535--5
61829--مؤقت-نقل,61829--مؤقت-نقل
28187--5,28187--5
1744--مؤقت-نقل,1744--مؤقت-نقل
2917--17,2917--17
11461--15,11461--15
7314--15,7314--15
4557--H,4557--H
4042--مؤقت-نقل,4042--مؤقت-نقل
17196--5-مؤقت-ح,17196--5-مؤقت-ح
4094--مؤقت-نقل,4094--مؤقت-نقل
6893--5,6893--5
19199--6,19199--6
19312--1,19312--1
1988--5,1988--5
71082--5,71082--5
7155---H,7155---H
7990--H,7990--H
35492--5,35492--5
35649--5,35649--5
1797--مؤقت-ش,1797--مؤقت-ش
317--مؤقت,317--مؤقت
38813--5,38813--5
